,SITE_NAME,Harbour,Latitude,Longitude,Shallowness,Soil_type,Catchment_slope,Landcover_catchment,watercraft_use,sewage_discharge_beach,high_intensity_agri_beach,beach_orientation_angle
0,0,0,-43.805736,172.966301,1,1,3,2,1,0,0,170
167,0,2,-44.38596322,171.2503824,0,1,1,2,0,0,0,210
379,0,1,-43.605543,172.693917,1,2,6,2,1,0,0,15
552,0,1,-43.641945,172.712081,1,0,6,0,1,0,0,90
708,0,1,-43.632972,172.720707,1,1,7,0,1,0,0,130
868,0,1,-43.607871,172.699863,1,1,7,2,1,0,0,32
1049,0,1,-43.62545,172.737182,1,2,7,2,2,0,0,140
1218,0,0,-43.754429,172.941495,2,0,3,1,1,0,0,40
1380,0,0,-43.77601,172.910424,1,0,5,1,2,1,1,230
1535,0,0,-43.81509,172.951134,0,2,5,1,1,0,0,170
1700,0,1,-43.619843,172.657918,2,0,6,1,0,0,0,8
1865,0,1,-43.638175,172.752755,1,0,3,1,1,1,0,170
2033,0,1,-43.607415,172.683974,1,0,6,1,1,0,0,20
2208,0,1,-43.57283557,172.7704561,0,1,6,2,0,0,0,212
2435,0,1,-43.56519972,172.7572356,0,1,5,2,0,0,0,208
2592,0,0,-43.785037,172.967554,1,0,4,1,1,1,0,110
2757,0,1,-43.5832393,172.7769814,0,1,6,1,2,0,0,241
2913,0,0,-43.795813,172.916609,1,1,7,1,1,0,1,320
3076,0,2,-44.38436715,171.2472789,0,1,1,2,0,0,0,235
3246,0,2,-44.38607239,171.2557524,0,1,1,2,1,0,0,203
3408,0,0,-43.812906,172.907887,0,2,3,1,1,0,0,321
